asr_model,se_condition,se_label,l1_distance,cosine_distance,n_utts
whisper-base,no_se,No SE,0.3672225687801838,0.10083989685773849,1000
whisper-base,taps_pretrained,TAPS pretrained,0.15679675959050654,0.030126105666160582,1000
whisper-base,enc_best,Enc L1 (λ=5.0),0.15692197619378567,0.030929401278495788,1000
whisper-base,ce_best,CE (λ=10.0),0.2362529709637165,0.044519878387451174,1000
whisper-small,no_se,No SE,0.38557564878463746,0.0955065393447876,1000
whisper-small,taps_pretrained,TAPS pretrained,0.2004647460654378,0.035313919067382814,1000
whisper-small,enc_best,Enc L1 (λ=5.0),0.19210616508126258,0.03469622373580933,1000
whisper-small,ce_best,CE (λ=10.0),0.3259497922956944,0.06239529532194137,1000
whisper-medium,no_se,No SE,0.4076134306788445,0.113314315199852,1000
whisper-medium,taps_pretrained,TAPS pretrained,0.22592170730233194,0.047258914828300476,1000
whisper-medium,enc_best,Enc L1 (λ=5.0),0.2241702752262354,0.04750830316543579,1000
whisper-medium,ce_best,CE (λ=10.0),0.3460129335224628,0.08297126811742783,1000
