utt,spk,partner,logmel_l1,snr_db
p00_u00,p00,ce0.0,0.345,8.83
p00_u00,p00,ce10.0,0.7169,2.9
p00_u00,p00,demucs,0.3411,-4.99
p00_u00,p00,tstnn,0.4483,-6.85
p00_u01,p00,ce0.0,0.3088,11.88
p00_u01,p00,ce10.0,0.7092,3.72
p00_u01,p00,demucs,0.4131,-5.26
p00_u01,p00,tstnn,0.4014,-5.99
p00_u02,p00,ce0.0,0.2928,11.93
p00_u02,p00,ce10.0,0.6709,4.37
p00_u02,p00,demucs,0.3411,-5.47
p00_u02,p00,tstnn,0.3838,-6.28
p00_u03,p00,ce0.0,0.3755,9.03
p00_u03,p00,ce10.0,0.7313,2.74
p00_u03,p00,demucs,0.3524,-5.12
p00_u03,p00,tstnn,0.4581,-6.59
p00_u04,p00,ce0.0,0.3431,9.87
p00_u04,p00,ce10.0,0.7324,2.72
p00_u04,p00,demucs,0.4067,-5.09
p00_u04,p00,tstnn,0.428,-6.41
p00_u05,p00,ce0.0,0.3195,10.74
p00_u05,p00,ce10.0,0.7286,2.55
p00_u05,p00,demucs,0.4366,-5.89
p00_u05,p00,tstnn,0.4376,-6.42
p00_u06,p00,ce0.0,0.2757,12.79
p00_u06,p00,ce10.0,0.6661,3.86
p00_u06,p00,demucs,0.3927,-5.13
p00_u06,p00,tstnn,0.3854,-5.97
p00_u07,p00,ce0.0,0.326,11.96
p00_u07,p00,ce10.0,0.7358,3.19
p00_u07,p00,demucs,0.4143,-5.4
p00_u07,p00,tstnn,0.4501,-6.28
p00_u08,p00,ce0.0,0.3073,11.46
p00_u08,p00,ce10.0,0.7118,3.6
p00_u08,p00,demucs,0.429,-5.27
p00_u08,p00,tstnn,0.4255,-6.09
p00_u09,p00,ce0.0,0.3158,10.94
p00_u09,p00,ce10.0,0.7478,4.21
p00_u09,p00,demucs,0.4203,-5.31
p00_u09,p00,tstnn,0.4196,-6.16
p00_u10,p00,ce0.0,0.3167,10.69
p00_u10,p00,ce10.0,0.7273,2.42
p00_u10,p00,demucs,0.3898,-5.32
p00_u10,p00,tstnn,0.3861,-5.59
p00_u11,p00,ce0.0,0.2962,10.86
p00_u11,p00,ce10.0,0.6932,3.77
p00_u11,p00,demucs,0.4428,-5.78
p00_u11,p00,tstnn,0.3839,-5.45
p00_u12,p00,ce0.0,0.3598,11.46
p00_u12,p00,ce10.0,0.8075,2.61
p00_u12,p00,demucs,0.517,-6.61
p00_u12,p00,tstnn,0.4769,-5.87
p00_u13,p00,ce0.0,0.2923,10.78
p00_u13,p00,ce10.0,0.6826,2.99
p00_u13,p00,demucs,0.3813,-4.94
p00_u13,p00,tstnn,0.3674,-5.39
p00_u14,p00,ce0.0,0.3258,9.79
p00_u14,p00,ce10.0,0.6936,2.99
p00_u14,p00,demucs,0.394,-5.4
p00_u14,p00,tstnn,0.3918,-5.85
p00_u15,p00,ce0.0,0.3114,10.6
p00_u15,p00,ce10.0,0.7417,2.26
p00_u15,p00,demucs,0.4702,-6.03
p00_u15,p00,tstnn,0.3922,-5.89
p00_u16,p00,ce0.0,0.3686,9.36
p00_u16,p00,ce10.0,0.7708,1.87
p00_u16,p00,demucs,0.475,-5.64
p00_u16,p00,tstnn,0.4088,-5.46
p00_u17,p00,ce0.0,0.306,10.01
p00_u17,p00,ce10.0,0.7068,3.05
p00_u17,p00,demucs,0.4304,-5.1
p00_u17,p00,tstnn,0.3697,-5.26
p00_u18,p00,ce0.0,0.3097,10.76
p00_u18,p00,ce10.0,0.667,3.08
p00_u18,p00,demucs,0.4289,-5.24
p00_u18,p00,tstnn,0.3829,-5.87
p00_u19,p00,ce0.0,0.3061,10.02
p00_u19,p00,ce10.0,0.7188,2.81
p00_u19,p00,demucs,0.4168,-5.45
p00_u19,p00,tstnn,0.4055,-5.63
