utt,spk,cond,hyp
p00_u00,p00,taps,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 점검에 나섰다
p00_u00,p00,ce0.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,ce0.1,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,ce0.5,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경책 경검에 나섰다
p00_u00,p00,ce1.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통훈접도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u00,p00,ce2.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 경택관검에 나섰다
p00_u00,p00,ce5.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,ce10.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다
p00_u01,p00,taps,이날 후에는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,ce0.0,이날 회의는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 점검과 안전 관리 강화 방안을 함께 모색했다
p00_u01,p00,ce0.1,이날 수인위는 시 부산교통공사 시내 마을버스 운송 사업조합 등이 삼석해 안전 확보 추진상황 경공과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,ce0.5,이날 회의인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼석해 안전 확보 추진상황 경건과 안전 관리 강화 방안을 함께 모색했다
p00_u01,p00,ce1.0,이날 수인이는 시부산교통공사 시내 마을버스 운송 사업 조합 등이 삼 석회 안전 확보 추진상황 전공과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,ce2.0,이날 회의는 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼석해 안전 확보 추진상황 전공과 안전관리 강화방안을 함께 모색했다
p00_u01,p00,ce5.0,이날 회의인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼석해 안전 확보 추진 상황 경건과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,ce10.0,이날 회의인은 시 부산교통공사 시내 마을버스 운송 사업 조합 등이 삼석해 안전 확보 추진 상황 경건과 안전 관리 강화 방안을 함께 모색했다
p00_u02,p00,taps,도시철도는 정원 백 이십 명인 황칸 차량에 백 팔십 명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce0.0,도시철도는 정원 백 이십 명인 항판 차량에 백 팔십 명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce0.1,도시철도는 정원 백 이십 명인 황칸 차량에 백 팔십 명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce0.5,도시철도는 정원 백 이십 명인 황칸 차량에 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,ce1.0,도시철도는 정원 백 이십 명인 상판 차량에 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,ce2.0,도시 출동은 경원 백 이십 명인 황칸 차량에 백 팔십 명이 삼승했을 경우 혼자 판 상태로 승부원의 관리가 필요하다
p00_u02,p00,ce5.0,도시철도는 경원 백 이십 명인 상판 차량에 백 팔십 명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce10.0,도시철도는 정원 백 이십 명인 상판 차량에 백 팔십 명이 탐승했을 경우 혼자 판 상태로 승무원에 관리가 필요하다
p00_u03,p00,taps,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차의 크게 어려움을 펼지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.0,부산시는 출퇴근 시간 퇴제 순간 혼잡도가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.1,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차의 크게 어려움을 펼지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.5,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 내외 수준으로 수조권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce1.0,부산시는 출 퇴근 시간 최대 순간 혼접도가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차의 크게 어려움을 겪게 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce2.0,부산시는 출퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 네 회 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce5.0,부산시는 출 퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 네 배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce10.0,부산시는 출 퇴근 시간 최대 순간 혼잡도가 백 이십 퍼센트 내외 수준으로 수조권과 달리 승차의 크게 어려움을 겪게 앉는 수준에서 안전하게 관리되고 있다
p00_u04,p00,taps,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빔차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce0.0,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce0.1,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce0.5,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빔차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce1.0,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빔차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce2.0,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빔차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce5.0,시는 최근 비티에스 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무장차 운행 등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce10.0,시는 최근 비티에스 공연과 같이 인시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입 무정차 운행 등으로 혼잡도를 해소하기로 했다
p00_u05,p00,taps,또 현재 운영되고 있는 부산교통공사 운행관재 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다
p00_u05,p00,ce0.0,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 접는 재검점에 안정관리를 기속적으로 해나갈 방침이다
p00_u05,p00,ce0.1,또 현재 운영되고 있는 부산교통공사 운행관재 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방침이다
p00_u05,p00,ce0.5,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안전관리를 지속적으로 해나갈 방침이다
p00_u05,p00,ce1.0,또 현재 운영되고 있는 부산교통공사 운행관재 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안정관리를 지속적으로 해나갈 방침이다
p00_u05,p00,ce2.0,또 현재 운영되고 있는 부산교통공사 운행관재 현장조치 매뉴얼 등 관련 매뉴얼을 접는 재검점에 안전관리를 지속적으로 해나갈 방침이다
p00_u05,p00,ce5.0,또 현재 운영되고 있는 부산교통공사 운행관재 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안전관리를 기속적으로 해나갈 방침이다
p00_u05,p00,ce10.0,또 현재 운영되고 있는 부산교통공사 운행관제 현장조치 매뉴얼 등 관련 매뉴얼을 전면 재검점에 안전관리를 기속적으로 해나갈 방침이다
p00_u06,p00,taps,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.0,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.1,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.5,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce1.0,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 생화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce2.0,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce5.0,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce10.0,시내마을버스는 출퇴근 시간 때 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차에 어려움 없이 안전하게 관리되고 있다
p00_u07,p00,taps,앞으로 시는 이천 이십 삼 년 하반기 중 사차태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
p00_u07,p00,ce0.0,앞으로 시는 이천 이십 삼 년 하반기 중 사차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
