utt,spk,cond,hyp
p00_u00,p00,taps,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택 경검에 나섰다.
p00_u00,p00,avg_taps_ce0.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
p00_u00,p00,avg_taps_ce10.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
p00_u00,p00,avg_ce0.0_ce10.0,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경검에 나섰다.
p00_u01,p00,taps,"이난순위는 시 부산교통공사, 시내 마을버스 운송사업조합 등이 참석해 안전 확고 추진 상황 경공과 안전 관리 강화 방안을 함께 모색했다."
p00_u01,p00,avg_taps_ce0.0,"이난순위는 시 부산교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 참석해 안전사고 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,avg_taps_ce10.0,"이난순위는 시 부상교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 참석해 안전 확보 추진 상황 경공과 안전 관리 광화방안을 함께 모색했다."
p00_u01,p00,avg_ce0.0_ce10.0,"잇난 수의인은 시 부상교통공사, 시내, 마을버스, 운송, 사업, 조합 등이 참석해 안전 확보 추진 상황 전공과 안전 관리 광화방안을 함께 모색했다."
p00_u02,p00,taps,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다.
p00_u02,p00,avg_taps_ce0.0,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
p00_u02,p00,avg_taps_ce10.0,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
p00_u02,p00,avg_ce0.0_ce10.0,도시철도는 정원 120명인 황칸 차량에 180명이 탐승했을 경우 혼자 판 상태로 승무원의 관리가 필요하다.
p00_u03,p00,taps,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 펴지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,avg_taps_ce0.0,부산시는 출퇴근 시간 퇴제 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,avg_taps_ce10.0,부산시는 출퇴근 시간 최대 순간 혼잡도가 120% 내배 수준으로 후족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u03,p00,avg_ce0.0_ce10.0,부산시는 출퇴근 시간 퇴제 순간 혼잡도가 120% 내배 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다.
p00_u04,p00,taps,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,avg_taps_ce0.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 트윗, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,avg_taps_ce10.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빙차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u04,p00,avg_ce0.0_ce10.0,"시는 최근 BTS 공연과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 빈차 추가 투입, 무정차 운행 등으로 혼잡도를 해소하기로 했다."
p00_u05,p00,taps,"또, 현재 운영되고 있는 부상교통공사, 운행관제 현장 조치 메뉴얼 등 관련 메뉴얼을 전면 재검점에 안정관리를 기속적으로 해나갈 방퀴입니다."
p00_u05,p00,avg_taps_ce0.0,"또, 현재 운영되고 있는 부상교통공사, 운행관계 현장조치 메뉴얼 등 관련 메뉴얼을 접면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,avg_taps_ce10.0,"또 현재 운영되고 있는 부상교통공사, 운행관제 현장조치 메뉴얼 등 관련 메뉴얼을 접면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u05,p00,avg_ce0.0_ce10.0,"또 현재 운영되고 있는 부상교통공사, 운행관제 현장조치 메뉴얼 등 관련 메뉴얼을 접면 재검점에 안정관리를 기속적으로 해나갈 방침이다."
p00_u06,p00,taps,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,avg_taps_ce0.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,avg_taps_ce10.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u06,p00,avg_ce0.0_ce10.0,시내 마을 버스는 출퇴근 시간대 일부 노선을 제외하고는 대부분의 노선이 혼잡도가 낮아 현재는 승화차의 어려움 없이 안전하게 관리되고 있다.
p00_u07,p00,taps,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
