utt,spk,cond,hyp
p00_u00,p00,taps,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,ce0.0,부산지는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼장도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,ce0.1,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책 회익을 열고 경책경검에 나섰다
p00_u00,p00,ce0.5,부산시는 칠 일 오후 시민들이 안전하을 대중교 통을 이용하기 위해 대중 교통 환자도 안전관리 대책회의을 열고 경책 경검에 나섰다
p00_u00,p00,ce1.0,부산시는 일 일 오후 시민들이 안전하게 대비교통을 이용하기 위해 대중교통 흔적도 안전관리 대책회입을 열고 경책 강검에 나섰다
p00_u00,p00,ce2.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책 회의를 열고 경책 강검에 나섰다
p00_u00,p00,ce5.0,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책회의를 열고 경책 강검에 나섰다
p00_u00,p00,ce10.0,부한시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u01,p00,taps,임날 회일는 십 부산 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 확고 추진상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce0.0,임날 회인는 시 부산 교통공사 신해 마을버스 운송 사업조합 등이 참석해 안전 사부 추진 상황 경동과 안정관리 강화 방안을 함께 모색켰다
p00_u01,p00,ce0.1,임날 수위는 십 부산 교통공사 신해 마을버스 운송 사업조합 등이 삼석해 안전 확부 추진 상한 경공과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce0.5,이날 회위는 십 부상 교통공사 흰해 마을버스 운송 사업키합 등이 삼석해 안전확보 추진 상황 경경과 안전관리 강화 방안을 함께 모습했다
p00_u01,p00,ce1.0,이날 회니는 십 부상 교통공사 흰의 마을버스 운송 사홉 교카 등이 삼석해 안전확보 추진상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce2.0,이날 생위는 시 부산 교통공사 해 마을버스 운송 사홉 계카 등이 삼석해 안전 사고 출진 상한 경광과 안전관리 강화 방안을 함께 모색했다
p00_u01,p00,ce5.0,이날 회인는  부상 교통공사 흰의 마을버스 운송 사업교합 등이 함사해 안전 확보 출진 상한 변문과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce10.0,이날 회미는 십 부산 교통공사 해 마을버스 운송 상업교합 등이 삼석해 안전확보 추진 상황 변문과 안정관리 강화방안을 함께 모색했다
