asr,A,B,cer_A,cer_B,rel,spk_B_better,n_spk,p_spk
whisper-base,taps,ce0.0,0.2726,0.2832,3.9,0,10,0.002
whisper-base,taps,ce0.1,0.2726,0.2698,-1.0,7,10,0.375
whisper-base,taps,ce0.5,0.2726,0.2733,0.3,4,10,0.7695
whisper-base,taps,ce1.0,0.2726,0.2712,-0.5,5,10,0.7695
whisper-base,taps,ce2.0,0.2726,0.2639,-3.2,7,10,0.1055
whisper-base,taps,ce5.0,0.2726,0.27,-0.9,6,10,0.9219
whisper-base,taps,ce10.0,0.2726,0.2667,-2.1,7,10,0.2324
whisper-small,taps,ce0.0,0.2297,0.2353,2.5,2,10,0.0098
whisper-small,taps,ce0.1,0.2297,0.2188,-4.7,8,10,0.0137
whisper-small,taps,ce0.5,0.2297,0.2128,-7.4,10,10,0.002
whisper-small,taps,ce1.0,0.2297,0.2076,-9.6,10,10,0.002
whisper-small,taps,ce2.0,0.2297,0.2,-12.9,10,10,0.002
whisper-small,taps,ce5.0,0.2297,0.1982,-13.7,10,10,0.002
whisper-small,taps,ce10.0,0.2297,0.1956,-14.8,10,10,0.002
whisper-small,taps,avg_taps_ce0.0,0.2297,0.2219,-3.4,10,10,0.002
whisper-small,taps,avg_taps_ce10.0,0.2297,0.2001,-12.9,10,10,0.002
whisper-small,taps,avg_ce0.0_ce10.0,0.2297,0.2037,-11.3,10,10,0.002
whisper-medium,taps,ce0.0,0.1962,0.2007,2.3,2,10,0.0645
whisper-medium,taps,ce0.1,0.1962,0.1897,-3.3,6,10,0.1055
whisper-medium,taps,ce0.5,0.1962,0.1787,-8.9,10,10,0.002
whisper-medium,taps,ce1.0,0.1962,0.1763,-10.2,10,10,0.002
whisper-medium,taps,ce2.0,0.1962,0.169,-13.9,10,10,0.002
whisper-medium,taps,ce5.0,0.1962,0.1711,-12.8,9,10,0.0039
whisper-medium,taps,ce10.0,0.1962,0.1686,-14.1,10,10,0.002
whisper-ft,taps,ce0.0,0.1462,0.1486,1.7,3,10,0.2754
whisper-ft,taps,ce0.1,0.1462,0.1359,-7.0,9,10,0.0039
whisper-ft,taps,ce0.5,0.1462,0.1268,-13.3,10,10,0.002
whisper-ft,taps,ce1.0,0.1462,0.1274,-12.8,10,10,0.002
whisper-ft,taps,ce2.0,0.1462,0.1181,-19.2,10,10,0.002
whisper-ft,taps,ce5.0,0.1462,0.1213,-17.0,10,10,0.002
whisper-ft,taps,ce10.0,0.1462,0.1211,-17.2,10,10,0.002
mms-1b-all,taps,ce0.0,0.3498,0.3578,2.3,2,10,0.0137
mms-1b-all,taps,ce0.1,0.3498,0.3556,1.7,2,10,0.0645
mms-1b-all,taps,ce0.5,0.3498,0.3628,3.7,0,10,0.002
mms-1b-all,taps,ce1.0,0.3498,0.3633,3.9,1,10,0.0039
mms-1b-all,taps,ce2.0,0.3498,0.3501,0.1,6,10,0.8457
mms-1b-all,taps,ce5.0,0.3498,0.3537,1.1,4,10,0.2754
mms-1b-all,taps,ce10.0,0.3498,0.3536,1.1,3,10,0.3223
mms-1b-all,taps,avg_taps_ce0.0,0.3498,0.3447,-1.5,9,10,0.0137
mms-1b-all,taps,avg_taps_ce10.0,0.3498,0.3284,-6.1,10,10,0.002
mms-1b-all,taps,avg_ce0.0_ce10.0,0.3498,0.3323,-5.0,10,10,0.002
xlsr-korean,taps,ce0.0,0.2216,0.2306,4.1,0,10,0.002
xlsr-korean,taps,ce0.1,0.2216,0.2336,5.4,1,10,0.0137
xlsr-korean,taps,ce0.5,0.2216,0.2514,13.5,0,10,0.002
xlsr-korean,taps,ce1.0,0.2216,0.2719,22.7,0,10,0.002
xlsr-korean,taps,ce2.0,0.2216,0.267,20.5,0,10,0.002
xlsr-korean,taps,ce5.0,0.2216,0.2627,18.6,0,10,0.002
xlsr-korean,taps,ce10.0,0.2216,0.2787,25.8,0,10,0.002
xlsr-korean,taps,avg_taps_ce0.0,0.2216,0.2181,-1.6,9,10,0.0098
xlsr-korean,taps,avg_taps_ce10.0,0.2216,0.213,-3.9,9,10,0.0039
xlsr-korean,taps,avg_ce0.0_ce10.0,0.2216,0.2153,-2.8,8,10,0.0273
