noise_type,snr_db,pre_clean_cer,ft_clean_cer,pre_noisy_cer,ft_noisy_cer,pre_sensitivity,ft_sensitivity,NIR
white,20,0.5436,0.1498,0.6106,0.232,0.0669,0.0821,0.815
white,10,0.5436,0.1498,0.8748,0.3622,0.3312,0.2123,1.56
white,5,0.5436,0.1498,1.0837,0.4607,0.54,0.3109,1.7371
white,0,0.5436,0.1498,1.4567,0.5898,0.913,0.44,2.0753
white,-5,0.5436,0.1498,2.2013,0.7912,1.6577,0.6414,2.5847
pink,20,0.5436,0.1498,0.6127,0.2013,0.0691,0.0515,1.3408
pink,10,0.5436,0.1498,0.8465,0.3203,0.3029,0.1705,1.7768
pink,5,0.5436,0.1498,1.1272,0.4334,0.5836,0.2836,2.0576
pink,0,0.5436,0.1498,1.5635,0.5953,1.0198,0.4455,2.2891
pink,-5,0.5436,0.1498,2.0676,0.9736,1.524,0.8237,1.8501
