condition,speaker_id,sentence_id,cer
baseline_acoustic,p00,u00,0.0377
baseline_acoustic,p00,u01,0.0545
baseline_acoustic,p00,u02,0.2222
baseline_acoustic,p00,u03,0.129
baseline_acoustic,p00,u04,0.0893
baseline_acoustic,p00,u05,0.1071
baseline_acoustic,p00,u06,0.0517
baseline_acoustic,p00,u07,0.1667
baseline_acoustic,p00,u08,0.0238
baseline_acoustic,p00,u09,0.1951
baseline_acoustic,p00,u10,0.2
baseline_acoustic,p00,u11,0.1667
baseline_acoustic,p00,u12,0.2188
baseline_acoustic,p00,u13,0.098
baseline_acoustic,p00,u14,0.1176
baseline_acoustic,p00,u15,0.3636
baseline_acoustic,p00,u16,0.093
baseline_acoustic,p00,u17,0.1296
baseline_acoustic,p00,u18,0.0625
baseline_acoustic,p00,u19,0.0732
baseline_acoustic,p00,u20,0.1045
baseline_acoustic,p00,u21,0.098
baseline_acoustic,p00,u22,0.0545
baseline_acoustic,p00,u23,0.1212
baseline_acoustic,p00,u24,0.1429
baseline_acoustic,p00,u25,0.0943
baseline_acoustic,p00,u26,0.0909
baseline_acoustic,p00,u27,0.1034
baseline_acoustic,p00,u28,0.0727
baseline_acoustic,p00,u29,0.1321
baseline_acoustic,p00,u30,0.1273
baseline_acoustic,p00,u31,0.0833
baseline_acoustic,p00,u32,0.1389
baseline_acoustic,p00,u33,0.1026
baseline_acoustic,p00,u34,0.0882
baseline_acoustic,p00,u35,0.0833
baseline_acoustic,p00,u36,0.075
baseline_acoustic,p00,u37,0.0508
baseline_acoustic,p00,u38,0.1463
baseline_acoustic,p00,u39,0.1064
baseline_acoustic,p00,u40,0.5946
baseline_acoustic,p00,u41,0.2889
baseline_acoustic,p00,u42,0.1964
baseline_acoustic,p00,u43,0.0758
baseline_acoustic,p00,u44,0.0328
baseline_acoustic,p00,u45,0.2
baseline_acoustic,p00,u46,0.2444
baseline_acoustic,p00,u47,0.1695
baseline_acoustic,p00,u48,0.0222
baseline_acoustic,p00,u49,0.1143
baseline_throat,p00,u00,0.1321
baseline_throat,p00,u01,0.3273
baseline_throat,p00,u02,0.3111
baseline_throat,p00,u03,0.2258
baseline_throat,p00,u04,0.1964
baseline_throat,p00,u05,0.1429
baseline_throat,p00,u06,0.0862
baseline_throat,p00,u07,0.2778
baseline_throat,p00,u08,0.2143
baseline_throat,p00,u09,0.5366
baseline_throat,p00,u10,0.3333
baseline_throat,p00,u11,0.2619
baseline_throat,p00,u12,0.4375
baseline_throat,p00,u13,0.3137
baseline_throat,p00,u14,0.2549
baseline_throat,p00,u15,0.5682
baseline_throat,p00,u16,0.2326
baseline_throat,p00,u17,0.2593
baseline_throat,p00,u18,0.2031
baseline_throat,p00,u19,0.1707
baseline_throat,p00,u20,0.3134
baseline_throat,p00,u21,0.3333
baseline_throat,p00,u22,0.1091
baseline_throat,p00,u23,0.1667
baseline_throat,p00,u24,0.2245
baseline_throat,p00,u25,0.4151
baseline_throat,p00,u26,0.2727
baseline_throat,p00,u27,0.2586
baseline_throat,p00,u28,0.2182
baseline_throat,p00,u29,0.283
baseline_throat,p00,u30,0.2
baseline_throat,p00,u31,0.1833
baseline_throat,p00,u32,0.2222
baseline_throat,p00,u33,0.5897
baseline_throat,p00,u34,0.3824
baseline_throat,p00,u35,0.2778
baseline_throat,p00,u36,0.2
baseline_throat,p00,u37,0.1356
baseline_throat,p00,u38,0.1463
baseline_throat,p00,u39,0.1489
baseline_throat,p00,u40,0.6216
baseline_throat,p00,u41,0.4222
baseline_throat,p00,u42,0.3571
baseline_throat,p00,u43,0.1515
baseline_throat,p00,u44,0.0656
baseline_throat,p00,u45,0.2889
baseline_throat,p00,u46,0.4222
baseline_throat,p00,u47,0.2034
baseline_throat,p00,u48,0.1333
baseline_throat,p00,u49,0.2286
dsp_only/clean,p00,u00,0.3396
dsp_only/clean,p00,u01,0.5455
dsp_only/clean,p00,u02,0.4222
dsp_only/clean,p00,u03,0.3226
dsp_only/clean,p00,u04,0.2321
dsp_only/clean,p00,u05,0.2679
dsp_only/clean,p00,u06,0.2931
dsp_only/clean,p00,u07,0.3889
dsp_only/clean,p00,u08,0.2143
dsp_only/clean,p00,u09,1.1951
dsp_only/clean,p00,u10,0.45
dsp_only/clean,p00,u11,0.2857
dsp_only/clean,p00,u12,0.5312
dsp_only/clean,p00,u13,0.2745
dsp_only/clean,p00,u14,0.5294
dsp_only/clean,p00,u15,0.6364
dsp_only/clean,p00,u16,0.4651
dsp_only/clean,p00,u17,0.3333
dsp_only/clean,p00,u18,0.3281
dsp_only/clean,p00,u19,0.2927
dsp_only/clean,p00,u20,0.2687
dsp_only/clean,p00,u21,0.549
dsp_only/clean,p00,u22,0.3273
dsp_only/clean,p00,u23,0.2576
dsp_only/clean,p00,u24,0.2857
dsp_only/clean,p00,u25,0.6604
dsp_only/clean,p00,u26,0.6667
dsp_only/clean,p00,u27,0.3276
dsp_only/clean,p00,u28,0.4
dsp_only/clean,p00,u29,0.3962
dsp_only/clean,p00,u30,0.3091
dsp_only/clean,p00,u31,0.4333
dsp_only/clean,p00,u32,0.5833
dsp_only/clean,p00,u33,0.4872
dsp_only/clean,p00,u34,0.6765
dsp_only/clean,p00,u35,0.3056
dsp_only/clean,p00,u36,0.425
dsp_only/clean,p00,u37,0.2034
dsp_only/clean,p00,u38,0.1951
dsp_only/clean,p00,u39,0.3617
dsp_only/clean,p00,u40,0.6486
dsp_only/clean,p00,u41,0.4667
dsp_only/clean,p00,u42,0.625
dsp_only/clean,p00,u43,0.2879
dsp_only/clean,p00,u44,0.1475
dsp_only/clean,p00,u45,0.6667
dsp_only/clean,p00,u46,0.5111
dsp_only/clean,p00,u47,0.4746
dsp_only/clean,p00,u48,0.2667
dsp_only/clean,p00,u49,0.2857
gtcrn/clean,p00,u00,0.1509
gtcrn/clean,p00,u01,0.4
gtcrn/clean,p00,u02,0.3556
gtcrn/clean,p00,u03,0.2258
gtcrn/clean,p00,u04,0.1964
gtcrn/clean,p00,u05,0.1607
gtcrn/clean,p00,u06,0.1552
gtcrn/clean,p00,u07,0.2593
gtcrn/clean,p00,u08,0.2143
gtcrn/clean,p00,u09,0.6341
gtcrn/clean,p00,u10,0.3333
gtcrn/clean,p00,u11,0.2619
gtcrn/clean,p00,u12,0.4375
gtcrn/clean,p00,u13,0.2941
gtcrn/clean,p00,u14,0.3922
gtcrn/clean,p00,u15,0.5682
gtcrn/clean,p00,u16,0.2558
gtcrn/clean,p00,u17,0.2778
gtcrn/clean,p00,u18,0.1719
gtcrn/clean,p00,u19,0.1951
gtcrn/clean,p00,u20,0.3731
gtcrn/clean,p00,u21,0.1961
gtcrn/clean,p00,u22,0.1636
gtcrn/clean,p00,u23,0.1667
gtcrn/clean,p00,u24,0.2245
gtcrn/clean,p00,u25,0.4151
gtcrn/clean,p00,u26,0.2727
gtcrn/clean,p00,u27,0.3103
gtcrn/clean,p00,u28,0.3091
gtcrn/clean,p00,u29,0.283
gtcrn/clean,p00,u30,0.2182
gtcrn/clean,p00,u31,0.25
gtcrn/clean,p00,u32,0.3333
gtcrn/clean,p00,u33,0.4615
gtcrn/clean,p00,u34,0.5
gtcrn/clean,p00,u35,0.3611
gtcrn/clean,p00,u36,0.15
gtcrn/clean,p00,u37,0.1695
gtcrn/clean,p00,u38,0.1951
gtcrn/clean,p00,u39,0.1915
gtcrn/clean,p00,u40,0.6216
gtcrn/clean,p00,u41,0.4222
gtcrn/clean,p00,u42,0.3571
gtcrn/clean,p00,u43,0.197
gtcrn/clean,p00,u44,0.0656
gtcrn/clean,p00,u45,0.5333
gtcrn/clean,p00,u46,0.5556
gtcrn/clean,p00,u47,0.2203
gtcrn/clean,p00,u48,0.1556
gtcrn/clean,p00,u49,0.1714
no_se/pink/snr_+0dB,p00,u00,0.9057
no_se/pink/snr_+0dB,p00,u01,0.9273
no_se/pink/snr_+0dB,p00,u02,0.8222
no_se/pink/snr_+0dB,p00,u03,1.0806
