speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p00,p00_u00,0.13043478260869565,0.08695652173913043,0.10144927536231885,0.057971014492753624
p00,p00_u01,0.37142857142857144,0.18571428571428572,0.2857142857142857,0.3
p00,p00_u02,0.3064516129032258,0.22580645161290322,0.24193548387096775,0.3064516129032258
p00,p00_u03,0.1927710843373494,0.1566265060240964,0.1566265060240964,0.14457831325301204
p00,p00_u04,0.1891891891891892,0.10810810810810811,0.16216216216216217,0.0945945945945946
p00,p00_u05,0.125,0.19444444444444445,0.1388888888888889,0.125
p00,p00_u06,0.12162162162162163,0.06756756756756757,0.06756756756756757,0.08108108108108109
p00,p00_u07,0.24,0.17333333333333334,0.2,0.13333333333333333
p00,p00_u08,0.14545454545454545,0.10909090909090909,0.07272727272727272,0.03636363636363636
p00,p00_u09,0.509090909090909,0.2909090909090909,0.38181818181818183,0.2909090909090909
p00,p00_u10,0.32926829268292684,0.23170731707317074,0.25609756097560976,0.23170731707317074
p00,p00_u11,0.2,0.18181818181818182,0.14545454545454545,0.14545454545454545
p00,p00_u12,0.38095238095238093,0.21428571428571427,0.19047619047619047,0.21428571428571427
p00,p00_u13,0.3181818181818182,0.10606060606060606,0.10606060606060606,0.10606060606060606
p00,p00_u14,0.30303030303030304,0.16666666666666666,0.18181818181818182,0.13636363636363635
p00,p00_u15,0.5230769230769231,0.3384615384615385,0.38461538461538464,0.3230769230769231
p00,p00_u16,0.3,0.26666666666666666,0.21666666666666667,0.15
p00,p00_u17,0.3188405797101449,0.2463768115942029,0.2753623188405797,0.2463768115942029
p00,p00_u18,0.2413793103448276,0.14942528735632185,0.12643678160919541,0.1724137931034483
p00,p00_u19,0.16666666666666666,0.2037037037037037,0.2037037037037037,0.12962962962962962
p00,p00_u20,0.27586206896551724,0.13793103448275862,0.13793103448275862,0.16091954022988506
p00,p00_u21,0.27692307692307694,0.09230769230769231,0.16923076923076924,0.16923076923076924
p00,p00_u22,0.1095890410958904,0.1506849315068493,0.0958904109589041,0.0821917808219178
p00,p00_u23,0.18681318681318682,0.16483516483516483,0.14285714285714285,0.15384615384615385
p00,p00_u24,0.15384615384615385,0.16923076923076924,0.2,0.09230769230769231
p00,p00_u25,0.4788732394366197,0.18309859154929578,0.18309859154929578,0.1267605633802817
p00,p00_u26,0.30952380952380953,0.19047619047619047,0.19047619047619047,0.16666666666666666
p00,p00_u27,0.19736842105263158,0.15789473684210525,0.14473684210526316,0.09210526315789473
p00,p00_u28,0.2777777777777778,0.19444444444444445,0.19444444444444445,0.1527777777777778
p00,p00_u29,0.3246753246753247,0.2077922077922078,0.2857142857142857,0.2077922077922078
p00,p00_u30,0.15584415584415584,0.14285714285714285,0.14285714285714285,0.12987012987012986
p00,p00_u31,0.16666666666666666,0.13095238095238096,0.11904761904761904,0.08333333333333333
p00,p00_u32,0.22916666666666666,0.3125,0.2916666666666667,0.16666666666666666
p00,p00_u33,0.46153846153846156,0.09615384615384616,0.11538461538461539,0.09615384615384616
p00,p00_u34,0.30434782608695654,0.17391304347826086,0.15217391304347827,0.15217391304347827
p00,p00_u35,0.3191489361702128,0.2765957446808511,0.2127659574468085,0.19148936170212766
p00,p00_u36,0.25,0.14285714285714285,0.19642857142857142,0.16071428571428573
p00,p00_u37,0.14102564102564102,0.08974358974358974,0.1282051282051282,0.08974358974358974
p00,p00_u38,0.30357142857142855,0.26785714285714285,0.26785714285714285,0.25
p00,p00_u39,0.3125,0.234375,0.203125,0.21875
p00,p00_u40,0.5576923076923077,0.5576923076923077,0.5576923076923077,0.5192307692307693
p00,p00_u41,0.3968253968253968,0.23809523809523808,0.2857142857142857,0.2222222222222222
p00,p00_u42,0.35135135135135137,0.28378378378378377,0.22972972972972974,0.24324324324324326
p00,p00_u43,0.125,0.1590909090909091,0.17045454545454544,0.10227272727272728
p00,p00_u44,0.13580246913580246,0.1111111111111111,0.12345679012345678,0.1111111111111111
p00,p00_u45,0.3230769230769231,0.2153846153846154,0.2,0.2
p00,p00_u46,0.4126984126984127,0.3968253968253968,0.3333333333333333,0.2698412698412698
p00,p00_u47,0.20481927710843373,0.2891566265060241,0.2289156626506024,0.18072289156626506
p00,p00_u48,0.15,0.18333333333333332,0.13333333333333333,0.1
p00,p00_u49,0.25,0.22727272727272727,0.1590909090909091,0.13636363636363635
p00,p00_u50,0.3269230769230769,0.2692307692307692,0.3076923076923077,0.21153846153846154
p00,p00_u51,0.4411764705882353,0.3627450980392157,0.3627450980392157,0.35294117647058826
p00,p00_u52,0.14925373134328357,0.1044776119402985,0.13432835820895522,0.08955223880597014
p00,p00_u53,0.21875,0.109375,0.125,0.125
p00,p00_u54,0.6376811594202898,0.5217391304347826,0.43478260869565216,0.5072463768115942
p00,p00_u55,0.6212121212121212,0.5909090909090909,0.5303030303030303,0.5757575757575758
p00,p00_u56,0.7183098591549296,0.5352112676056338,0.5070422535211268,0.5352112676056338
p00,p00_u57,0.3125,0.2625,0.2125,0.225
p00,p00_u58,0.24691358024691357,0.2839506172839506,0.14814814814814814,0.24691358024691357
p00,p00_u59,0.24691358024691357,0.1728395061728395,0.13580246913580246,0.14814814814814814
p00,p00_u60,0.28,0.14666666666666667,0.13333333333333333,0.14666666666666667
p00,p00_u61,0.22388059701492538,0.14925373134328357,0.16417910447761194,0.13432835820895522
p00,p00_u62,0.38095238095238093,0.30158730158730157,0.25396825396825395,0.19047619047619047
p00,p00_u63,0.22641509433962265,0.1320754716981132,0.20754716981132076,0.11320754716981132
p00,p00_u64,0.4891304347826087,0.32608695652173914,0.34782608695652173,0.30434782608695654
p00,p00_u65,0.39655172413793105,0.20689655172413793,0.1896551724137931,0.27586206896551724
