condition,noise_type,snr_db,avg_pesq
throat_clean_ref,none,clean,4.6439
dsp_only/clean,none,clean,2.1032
gtcrn/clean,none,clean,4.0914
no_se/pink/snr_+0dB,pink,+0,1.0193
no_se/pink/snr_+10dB,pink,+10,1.1017
no_se/pink/snr_+20dB,pink,+20,1.575
no_se/pink/snr_+5dB,pink,+5,1.0328
no_se/pink/snr_-5dB,pink,-5,1.0191
no_se/white/snr_+0dB,white,+0,1.018
no_se/white/snr_+10dB,white,+10,1.0188
no_se/white/snr_+20dB,white,+20,1.1443
no_se/white/snr_+5dB,white,+5,1.0181
no_se/white/snr_-5dB,white,-5,1.0188
dsp_only/pink/snr_+0dB,pink,+0,1.0195
dsp_only/pink/snr_+10dB,pink,+10,1.0192
dsp_only/pink/snr_+20dB,pink,+20,1.0203
dsp_only/pink/snr_+5dB,pink,+5,1.019
dsp_only/pink/snr_-5dB,pink,-5,1.0237
dsp_only/white/snr_+0dB,white,+0,1.0204
dsp_only/white/snr_+10dB,white,+10,1.0183
dsp_only/white/snr_+20dB,white,+20,1.0187
dsp_only/white/snr_+5dB,white,+5,1.0183
dsp_only/white/snr_-5dB,white,-5,1.039
gtcrn/pink/snr_+0dB,pink,+0,1.6426
gtcrn/pink/snr_+10dB,pink,+10,2.3573
gtcrn/pink/snr_+20dB,pink,+20,3.1619
gtcrn/pink/snr_+5dB,pink,+5,2.0154
gtcrn/pink/snr_-5dB,pink,-5,1.2638
gtcrn/white/snr_+0dB,white,+0,1.7058
gtcrn/white/snr_+10dB,white,+10,2.3015
gtcrn/white/snr_+20dB,white,+20,2.9823
gtcrn/white/snr_+5dB,white,+5,1.9912
gtcrn/white/snr_-5dB,white,-5,1.4155
