speaker_id,sentence_id,cer_baseline,cer_gtcrn_orig,cer_gtcrn_ft
p00,u00,0.1321,0.1698,1.0
p00,u01,0.3273,0.4182,1.0
p00,u02,0.2889,0.3778,1.0
p00,u03,0.2258,0.2258,1.0
p00,u04,0.1964,0.2143,1.0
p00,u05,0.1607,0.1786,3.9643
p00,u06,0.0862,0.1379,1.0
p00,u07,0.2593,0.2593,0.9815
p00,u08,0.2143,0.2143,1.0
p00,u09,0.6341,0.6341,0.9756
p00,u10,0.2833,0.3333,1.0
p00,u11,0.2143,0.2619,1.0
p00,u12,0.4062,0.4688,1.0
p00,u13,0.3529,0.3725,1.0
p00,u14,0.2549,0.3725,1.0
p00,u15,0.5682,0.6136,1.0
p00,u16,0.2326,0.3256,0.9767
p00,u17,0.3148,0.2778,0.9815
p00,u18,0.2031,0.125,1.0
p00,u19,0.1951,0.1707,1.0
p00,u20,0.2537,0.3134,1.0
p00,u21,0.2745,0.1961,1.0
p00,u22,0.1091,0.1636,1.0
p00,u23,0.1667,0.1818,0.9545
p00,u24,0.2041,0.2245,1.0
p00,u25,0.434,0.3774,0.9811
p00,u26,0.303,0.2727,1.0
p00,u27,0.2414,0.3103,0.9483
p00,u28,0.2182,0.2545,0.9455
p00,u29,0.3208,0.3019,1.0
p00,u30,0.1636,0.2364,0.9818
p00,u31,0.1833,0.1833,1.0
p00,u32,0.2778,0.2778,1.0
p00,u33,0.5385,0.4615,0.9487
p00,u34,0.3824,0.4706,0.9706
p00,u35,0.25,0.3056,1.0
p00,u36,0.2,0.2,1.0
p00,u37,0.1356,0.1356,1.0
p00,u38,0.1951,0.1951,1.0
p00,u39,0.1702,0.2128,1.0
p00,u40,0.6216,0.6216,1.0
p00,u41,0.3778,0.2889,1.0
p00,u42,0.3571,0.375,1.0
p00,u43,0.1515,0.2121,1.0
p00,u44,0.0492,0.0656,1.0
p00,u45,0.3778,0.5333,0.9556
p00,u46,0.4222,0.5556,1.0
p00,u47,0.1695,0.1695,1.0
p00,u48,0.1333,0.1556,0.9778
p00,u49,0.2,0.1714,1.0
