asr,cond,n,cer_raw,cer_nopunct,cer_nospace,final_punct_rate
mms-1b-all,ce0,1000,0.3577,0.3576,0.396,0.0
mms-1b-all,ce10,1000,0.3538,0.3536,0.3872,0.0
mms-1b-all,enc5,1000,0.3534,0.3533,0.3888,0.0
mms-1b-all,no_se,1000,0.4968,0.4967,0.5782,0.0
mms-1b-all,taps,1000,0.3501,0.3501,0.3854,0.0
whisper-small,ce10,1000,0.1997,0.1956,0.1989,0.008
whisper-small,ce10_lpf4k,1000,0.212,0.2006,0.2051,0.418
whisper-small,ce10_notch,1000,0.212,0.204,0.2076,0.228
whisper-small,hyb_ceLow_tapsHigh,1000,0.2175,0.2014,0.2059,0.675
whisper-small,hyb_tapsLow_ceHigh,1000,0.239,0.2172,0.2264,0.968
whisper-small,taps,1000,0.252,0.2302,0.243,0.944
whisper-small,taps_lpf4k,1000,0.244,0.2214,0.2315,0.984
whisper-small,taps_notch,1000,0.2529,0.2309,0.2439,0.949
xlsr-korean,ce0,1000,0.2305,0.2306,0.2553,0.0
xlsr-korean,ce10,1000,0.2785,0.2788,0.3147,0.0
xlsr-korean,enc5,1000,0.22,0.2202,0.2426,0.0
xlsr-korean,no_se,1000,0.5804,0.5836,0.6906,0.0
xlsr-korean,taps,1000,0.2216,0.2217,0.2442,0.0
