asr,split,cond,n,cer_raw,cer_nopunct,cer_nospace,final_punct_rate
whisper-base,test,ce10.0,1000,0.2864,0.2678,0.2868,0.817
whisper-base,test,enc5.0,1000,0.2973,0.2769,0.2984,0.855
whisper-base,test,no_se,1000,0.6725,0.6546,0.7402,0.578
whisper-base,test,taps,1000,0.2942,0.2725,0.293,0.879
whisper-ft,test,ce10.0,1000,0.1213,0.1213,0.1219,0.0
whisper-ft,test,no_se,1000,0.1375,0.1375,0.1431,0.0
whisper-ft,test,taps,1000,0.1459,0.1459,0.1527,0.0
whisper-medium,test,ce10.0,1000,0.1883,0.1686,0.1647,0.877
whisper-medium,test,enc5.0,1000,0.2184,0.1965,0.2003,0.958
whisper-medium,test,no_se,1000,0.3601,0.3368,0.3774,0.963
whisper-medium,test,taps,1000,0.2192,0.1966,0.2015,0.979
whisper-small,dev,ce0.0,1000,0.2857,0.2653,0.2808,0.935
whisper-small,dev,ce0.1,1000,0.2781,0.2575,0.2706,0.941
whisper-small,dev,ce0.5,1000,0.2658,0.2474,0.2565,0.863
whisper-small,dev,ce1.0,1000,0.2623,0.2442,0.2531,0.841
whisper-small,dev,ce10.0,1000,0.2316,0.2274,0.2318,0.037
whisper-small,dev,ce2.0,1000,0.2448,0.2309,0.236,0.616
whisper-small,dev,ce5.0,1000,0.2356,0.2315,0.2378,0.037
whisper-small,dev,ce_only10.0,1000,0.2398,0.238,0.2439,0.011
whisper-small,dev,enc5.0,1000,0.2862,0.2656,0.2809,0.914
whisper-small,dev,no_se,1000,0.4325,0.4095,0.4592,0.944
whisper-small,dev,taps,1000,0.2851,0.2647,0.2802,0.932
whisper-small,test,ce0.0,1000,0.2573,0.2352,0.2491,0.953
whisper-small,test,ce0.1,1000,0.2412,0.2189,0.2287,0.958
whisper-small,test,ce0.5,1000,0.2321,0.2124,0.2191,0.904
whisper-small,test,ce1.0,1000,0.2275,0.208,0.2138,0.898
whisper-small,test,ce10.0,1000,0.1997,0.1956,0.1989,0.008
whisper-small,test,ce2.0,1000,0.2156,0.1995,0.2027,0.673
whisper-small,test,ce5.0,1000,0.2026,0.1988,0.2039,0.004
whisper-small,test,ce_only10.0,1000,0.2054,0.2033,0.2081,0.003
whisper-small,test,enc5.0,1000,0.2513,0.2303,0.2413,0.921
whisper-small,test,no_se,1000,0.47,0.446,0.511,0.933
whisper-small,test,taps,1000,0.252,0.2302,0.243,0.944
