utt,spk,asr,cond,cer,hyp
p00_u00,p00,mms-1b-all,no_se,0.3188,그 산실는 씨일 우 시민들이 안전하게 제중규통을 위용하기 위회 제중교통 훈잡도 안장관리 대척 회기를 열부 정색 정업에 나었다
p00_u00,p00,mms-1b-all,taps,0.2029,구산시는 티일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,mms-1b-all,enc5,0.2029,부산시는 피일 5우 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 경택 경업에 나섰다
p00_u00,p00,mms-1b-all,ce0,0.2174,부산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 여러부 정책 경업에 나섰다
p00_u00,p00,mms-1b-all,ce10,0.2029,두산시는 7일 5우 시민들이 안전하을 대중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 쇠리를 열고 정책 경검에 나셨다
p00_u00,p00,xlsr-korean,no_se,0.4783,국단시는 칠 일 오후 평년들이 안단아며 별등평안 우병우 함류 두여 발경교 한력분 안당아리 대평회의 열고 발평 발검에 나섰다
p00_u00,p00,xlsr-korean,taps,0.0580,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,xlsr-korean,enc5,0.0725,부산시는 칠 일 오후 시민들이 안전하게 대중 교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 경책 경검에 나섰다
p00_u00,p00,xlsr-korean,ce0,0.0435,부산지는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼장도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,xlsr-korean,ce10,0.1304,부한시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u00,p00,whisper-small,taps,0.0870,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택점검에 나섰다.
p00_u00,p00,whisper-small,ce10,0.0580,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경검에 나섰다
p00_u00,p00,whisper-small,taps_notch,0.0870,부산시는 키를 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정택점검에 나섰다.
