asr,cond,n,cer,vs,delta,p
mms-1b-all,ce0,1000,0.3577,,,
mms-1b-all,ce10,1000,0.3538,,,
mms-1b-all,enc5,1000,0.3534,,,
mms-1b-all,no_se,1000,0.4968,,,
mms-1b-all,taps,1000,0.3501,,,
whisper-small,ce10,1000,0.1997,,,
whisper-small,ce10_lpf4k,1000,0.212,,,
whisper-small,ce10_notch,1000,0.212,,,
whisper-small,hyb_ceLow_tapsHigh,1000,0.2175,,,
whisper-small,hyb_tapsLow_ceHigh,1000,0.239,,,
whisper-small,taps,1000,0.252,,,
whisper-small,taps_lpf4k,1000,0.244,,,
whisper-small,taps_notch,1000,0.2529,,,
xlsr-korean,ce0,1000,0.2304,,,
xlsr-korean,ce10,1000,0.2785,,,
xlsr-korean,enc5,1000,0.22,,,
xlsr-korean,no_se,1000,0.5804,,,
xlsr-korean,taps,1000,0.2216,,,
mms-1b-all,ce10,1000,0.3538,taps,0.0037,3.47e-02
xlsr-korean,ce10,1000,0.2785,taps,0.0569,3.42e-116
mms-1b-all,ce10,1000,0.3538,ce0,-0.004,7.52e-02
xlsr-korean,ce10,1000,0.2785,ce0,0.0481,1.83e-90
whisper-small,ce10_notch,1000,0.212,ce10,0.0123,1.36e-19
whisper-small,taps_notch,1000,0.2529,taps,0.001,3.14e-01
whisper-small,ce10_lpf4k,1000,0.212,ce10,0.0123,2.06e-22
whisper-small,taps_lpf4k,1000,0.244,taps,-0.008,1.40e-09
whisper-small,ce10_lpf4k,1000,0.212,taps_lpf4k,-0.032,1.66e-51
whisper-small,hyb_tapsLow_ceHigh,1000,0.239,taps,-0.0129,5.26e-18
whisper-small,hyb_ceLow_tapsHigh,1000,0.2175,taps,-0.0345,6.16e-61
