utt,spk,cond,hyp
p00_u00,p00,mix0.00,구산시는 티일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,mix0.25,부산시는 7일 5우 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 정업에 나섰다
p00_u00,p00,mix0.50,부산시는 7일 5우 시민들이 안전하의 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 경업에 나었다
p00_u00,p00,mix0.75,두산시는 7일 5우 시민들이 안전하을 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 경검에 나었다
p00_u00,p00,mix1.00,두산시는 7일 5우 시민들이 안전하을 대중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 쇠리를 열고 정책 경검에 나셨다
p00_u00,p00,mix1.25,부산시는 7일 5우 시민들이 안전하을 데중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 회입일 열고 정책 경검에 나셨다
p00_u00,p00,mix1.50,부산시는 7일 5우 시민들이 안전하을 계중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 회입일 열고 정택 경검에 나셨다
p00_u00,p00,taps_lpf3k,부산시는 7일 5 시민들이 안전하게 대중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 정검에 나섰다
p00_u00,p00,taps_lpf4k,부산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 정검에 나섰다
p00_u00,p00,taps_lpf5k,부산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나었다
p00_u00,p00,taps_lpf6k,부산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,taps_lpf7k,부산시는 티일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,ce_lpf3k,두산시는 7일 5 시민들이 안전하을 제중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 쇠일에 열고 정책 정검에 나었다
p00_u00,p00,ce_lpf4k,부산시는 7일 5 시민들이 안전하을 대중규통을 영하기 위해 대중교통 훈잡도 안정관리 대책 쇠일에 열고 정책 정검에 나셨다
p00_u00,p00,ce_lpf5k,부산시는 7일 5 시민들이 안전하을 대중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 쇠일에 열고 정책 경검에 나셨다
p00_u00,p00,ce_lpf6k,부산시는 7일 5우 시민들이 안전하을 대중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 쇠일에 열고 정책 경검에 나셨다
p00_u00,p00,ce_lpf7k,부산시는 7일 5우 시민들이 안전하을 대중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 쇠리를 열고 정책 경검에 나셨다
p00_u00,p00,taps_notch,구산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,ce_notch,부산시는 필일 5우 시민들이 안전하을 제중규통을 용하기 위해 대중교통 훈잡도 안정관리 대책 회일에 열고 정책 경검에 나셨다
p00_u00,p00,hyb_tapsLow_ceHigh,구산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 정업에 나섰다
p00_u00,p00,hyb_ceLow_tapsHigh,두산시는 7일 5우 시민들이 안전하을 데중규통을 용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 경검에 나셨다
p00_u01,p00,mix0.00,인날 후이는 시 부상 교통공사 시키내 마을 법스 운송 상업 조합 등이 참석해 안전 확고 추진 상항 정공과 안전 관리 강화 방안을 함께 모색겠다
p00_u01,p00,mix0.25,인날 회 이는 시 부상 교통공사 시키내 마을 법스 운송 상업 조합등이 참석해 안전 확고 추진 상항 경공과 안정 관리 강화방안을 함께 모색겠다
p00_u01,p00,mix0.50,인날 회 이는 시 부상 교통공사 티내 마을 버스 운송 상업 조합등이 참석해 안전 확보 추진 상학 경공과 안정 관리 강화방안을 함께 모색겠다
p00_u01,p00,mix0.75,인난 회 이는 시 부상 교통공사 티내 마을버스 운송 상업 조합등이 참석해 안전 확보 추진 상향 경공과 안정 관리 강화방안을 함께 모색겠다
p00_u01,p00,mix1.00,인난 회위는 시 부상 교통공사 흰내 마을 버스 은송 상업 조합등이 참석해 안전 삯보 추진 상향 경응과 안정 살리 강화방안을 함께 모색겠다
p00_u01,p00,mix1.25,인난 회이는 시 부상 교통공사 티내 마을버스 은송 상업 조합등이 참석해 안전 삯보 추진 성학 경응과 안정 살리 강화방안을 함께 모색겠다
