utt,spk,cond,hyp
p00_u00,p00,mix0.00,부산지는 키릴로 오우 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정택 경험에 나섰다.
p00_u00,p00,mix0.25,부산지는 티리를 오우 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잣도 안전관리 대책 회의를 열고 정택 경험에 나섰다.
p00_u00,p00,mix0.50,부산시는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,mix0.75,부산시는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,mix1.00,부산시는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자 또 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,mix1.25,부산지는 715 시민들이 안전학을 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,mix1.50,부산지는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,taps_lpf3k,부산지는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 훈잡도 안전관리 대책 회의를 열고 정책 전검에 나섰다
p00_u00,p00,taps_lpf4k,부산지는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정책 전검에 나섰다.
p00_u00,p00,taps_lpf5k,부산지는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정택 전검에 나섰다.
p00_u00,p00,taps_lpf6k,부산지는 킬일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정택턴검에 나섰다.
p00_u00,p00,taps_lpf7k,부산지는 킬일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정택 경험에 나섰다.
p00_u00,p00,ce_lpf3k,부산시는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 분작도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_lpf4k,부산시는 7일 50 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 분작도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_lpf5k,부산시는 7일 50 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 분작도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_lpf6k,부산시는 715 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자 또 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_lpf7k,부산시는 715 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자 또 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,taps_notch,"부산지는 킬일 오후 시민들이 안전하게 대중교통을 이용하기 위해, 대중교통 흔적도 안전관리 대책 회의를 열고, 정택 경험에 나섰다."
p00_u00,p00,ce_notch,부산시는 7일 50 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 분작도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,hyb_tapsLow_ceHigh,부산시는 7일 5호 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 흔적도 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u00,p00,hyb_ceLow_tapsHigh,부산시는 7일 5시 민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자 또 안전관리 대책 회의를 열고 정책 경험에 나섰다.
p00_u01,p00,mix0.00,"이 날순위는 시 부산 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,mix0.25,"이 날순위는 시 부산 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,mix0.50,"이 날생위는 시 부산 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 경공과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,mix0.75,"인낯회인은 시 부산 교통공사, 신의 마을버스 운송 사업 조합 등이 참석해 안전 삭고 추진 성향 경공과 안전관리 강아방안을 함께 모색했다."
p00_u01,p00,mix1.00,"인낯회인인은 시 부산 교통공사, 시내 마을버스 음송 사업 조합 등이 삼성케 안전사고 추진 상황 현금과 안전 관리 강화 방안을 함께 모색했다."
p00_u01,p00,mix1.25,"인낭생이는 시 부산 교통공사, 신의 마을버스 은송 사업 조합 등이 참석해 안전 삭고 추진 성향 현금과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,mix1.50,"인낭세인이는 시 부산 교통공사, 신의 마을버스 은송 사업 조합 등이 참석해 안전 삭보 추진 성향 경금과 안전관리 강화 방안에는 함께 모색했다."
p00_u01,p00,taps_lpf3k,"이낯이 있는 시 부산 교통공사, 시진의 마을버스 운송 사업 조합 등이 참석해 안전 확고 추진 상황 전공과 안전 관리 광화 방안을 함께 모색했다."
p00_u01,p00,taps_lpf4k,"이낯은 이는 시 부산 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전 확고 추진 상황 전공과 안전 관리 방압 방안을 함께 모색했다."
p00_u01,p00,taps_lpf5k,"이낯은 이는 시 부상 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 전공과 안전 관리 방압 방안을 함께 모색했다."
p00_u01,p00,taps_lpf6k,"이 날 승리는 시 부상 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 전공과 안전 관리 강화 방안을 함께 모색했다."
p00_u01,p00,taps_lpf7k,"이 날 승리는 시 부산 교통공사, 시킨의 마을버스 운송 사업 조합 등이 참석해 안전사고 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다."
p00_u01,p00,ce_lpf3k,"인낭생이는 시 부산 교통공사, 신의 마을버스 운송 사업 조합 등이 참석해 안전 확보 추진 상황 전공과 안전관리 강화 방안을 함께 모색했다."
