utt,spk,cond,hyp
p00_u00,p00,mix0.00,구산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경험에 나섰다.
p00_u00,p00,mix0.25,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,mix0.50,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,mix0.75,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,mix1.00,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,mix1.25,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,mix1.50,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,taps_lpf3k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,taps_lpf4k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,taps_lpf5k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,taps_lpf6k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,taps_lpf7k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_lpf3k,부산시는 7일 오후 시민들이 안전하게 제중교통을 이용하기 위해 제중교통 혼잡도 안전관리 대책회의를 열고 정책점검에 나섰다.
p00_u00,p00,ce_lpf4k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,ce_lpf5k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,ce_lpf6k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 점검에 나섰다.
p00_u00,p00,ce_lpf7k,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
p00_u00,p00,taps_notch,구산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경험에 나섰다.
p00_u00,p00,ce_notch,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,hyb_tapsLow_ceHigh,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책 경험에 나섰다.
p00_u00,p00,hyb_ceLow_tapsHigh,부산시는 7일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼잡도 안전관리 대책회의를 열고 정책경검에 나섰다.
