utt,spk,cond,hyp
p00_u00,p00,mix0.00,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,mix0.25,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,mix0.50,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,mix0.75,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의을 열고 경책 경검에 나섰다
p00_u00,p00,mix1.00,부한시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u00,p00,mix1.25,부산시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u00,p00,mix1.50,부산시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u00,p00,taps_lpf3k,부단시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼적도 안전관리 대책회의를 열고 경책 경검에 나섰다
p00_u00,p00,taps_lpf4k,부단시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,taps_lpf5k,부산 시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼자도 안전관리 대책회의를 열고 정책경검에 나섰다
p00_u00,p00,taps_lpf6k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의를 열고 정책통검에 나섰다
p00_u00,p00,taps_lpf7k,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의를 열고 정책정검에 나섰다
p00_u00,p00,ce_lpf3k,본한시는 칠 일 오후 시민들이 안전하을 대병교통을 이용하기 위해 대변교통 환자도 안전관리 대회의를 열고 경책 경검에 나섰다
p00_u00,p00,ce_lpf4k,부단시는 칠 일 오후 시민들이 안전하을 대병교통을 이용하기 위해 대병교통 혼자도 안전관리 대책회입을 열고 경책 경검에 나섰다
p00_u00,p00,ce_lpf5k,부단피는 칠 일 오후 시민들이 안전하을 대병교통을 이용하기 위해 대병교통 혼자도 안전관리 대책회입을 열고 경책 경검에 나섰다
p00_u00,p00,ce_lpf6k,부단히는 칠 일 오후 시민들이 안전하을 대병교통을 이용하기 위해 대병교통 혼자도 안전관리 대책회입을 열고 경책 경검에 나섰다
p00_u00,p00,ce_lpf7k,부한시는 칠 일 오후 시민들이 안전하을 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책흔리을 열고 경책 경검에 나섰다
p00_u00,p00,taps_notch,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 환작도 안전관리 대책회의를 열고 정책정검에 나섰다
p00_u00,p00,ce_notch,부산피는 일 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 환자도 안전관리 대책회리를 열고 정택경검에 나섰다
p00_u00,p00,hyb_tapsLow_ceHigh,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중 교통 혼적도 안전관리 대책회의를 열고 정책 경검에 나섰다
p00_u00,p00,hyb_ceLow_tapsHigh,부산시는 칠 일 오후 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 혼자도 안전관리 대책회의을 열고 경책강검에 나섰다
p00_u01,p00,mix0.00,임날 회일는 십 부산 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 확고 추진상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,mix0.25,이날 회인는 십 부산 교통공사 흰해 마을버스 운송 사업조합 등이 참석해 안전확부 추진 상한 경공과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,mix0.50,이날 회인는 십 부산 교통공사 인해 마을버스 운송 사업조합 등이 참석해 안전확보 추진 상한 변경과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,mix0.75,이날 회인는 십 부산 교통공사 흰해 마을버스 운송 상업교합 등이 참석해 안전확보 추진 상황 변광과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,mix1.00,이날 회미는 십 부산 교통공사 해 마을버스 운송 상업교합 등이 삼석해 안전확보 추진 상황 변문과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,mix1.25,이날 회위는 일 부산 교통공사 신해 마을버스 운송 상업교합 등이 삼성해 안전확보 추진 상황 변문과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,mix1.50,이날 회인는 히 부산 교통공사 흰해 마을버스 운송 상업교합 등이 삼성해 안전확보 추진 상황 변문과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,taps_lpf3k,임날 회인는  부상 교통공사 해 마을버스 운송 사업 조합 등이 삼석해 안전학보 추진 상한 변동과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,taps_lpf4k,임날 회에는 십 부상 교통공사 해 마을버스 운송 사업조합 등이 삼석해 안전학고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,taps_lpf5k,임날 회에는 시 부상 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 사고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,taps_lpf6k,임날 해인는 십 부상 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 학고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,taps_lpf7k,임날 해인는 십 부상 교통공사 해 마을버스 운송 사업조합 등이 참석해 안전 학고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce_lpf3k,민날 획위는 히 부산 교통공사 흰의 마을버스 운동 향업교약 등이 한팎해 안전확보 출진 상한 변문과 안정관리 강화방안을 함께 모했다
p00_u01,p00,ce_lpf4k,민날 회위는 휴 부상 교통공사 의 마을버 운송 한업교약 등이 한팎해 안전확보 출진 상황 변문과 안정관리 강화방안을 함께 모흡했다
p00_u01,p00,ce_lpf5k,이날 회위는 해 부상 교통공사 해 마을버 운송 한업교합 등이 한팎해 안전확보 출진 상한 변문과 안정관리 강화방안을 함께 모해했다
p00_u01,p00,ce_lpf6k,민날 회위는 희 부상 교통공사 해 마을버 운송 한업교합 등이 한팎페 안전확보 출진 상한 변광과 안정관리 강화방안을 함께 모했다
p00_u01,p00,ce_lpf7k,이날 회미는 휴 부상 교통공사 후해 마을버 운송 상업교합 등이 삼사해 안전확보 추진 상한 변광과 안정관리 강화방안을 함께 모색했다
p00_u01,p00,taps_notch,임날 회인는 십 부상 교통공사 신해 마을버스 운송 사업조합 등이 참석해 안전 확고 추진 상한 경동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,ce_notch,이날 회위는 일 부상 교통공사 인해 마을버스 운송 한업교약 등이 삼석해 안전확보 추진 상황 변광과 안전관리 강화방안을 함께 모흡했다
p00_u01,p00,hyb_tapsLow_ceHigh,이날 회에는  부상 교통공사 흰해 마을버스 운송 사업조합 등이 참석해 안전확구 추진 상한 동과 안정관리 강화 방안을 함께 모색했다
p00_u01,p00,hyb_ceLow_tapsHigh,이날 회위는 십 부산 교통공사 신해 마을버스 운송 상업교약 등이 참석해 안전확보 추진 상한 변광과 안정관리 강화방안을 함께 모색혔다
p00_u02,p00,mix0.00,도시철도는 정원 백 이십 명인 한칸 사나의 백 팔십 명의 삼승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,mix0.25,도시철도는 정원 백 이십 명인 한칸 사나의 백 팔십 명의 탐승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
