asr,A,B,cer_A,cer_B,rel,spk_B_better,n_spk,p_spk
whisper-base,mix0.00,mix0.25,0.2725,0.259,-4.9,10,10,0.002
whisper-base,mix0.00,mix0.50,0.2725,0.2499,-8.3,10,10,0.002
whisper-base,mix0.00,mix0.75,0.2725,0.2453,-10.0,9,10,0.0039
whisper-base,mix0.00,mix1.00,0.2725,0.2668,-2.1,7,10,0.1934
whisper-base,mix0.00,mix1.25,0.2725,0.2723,-0.0,4,10,0.9219
whisper-base,mix0.00,mix1.50,0.2725,0.2827,3.8,2,10,0.0371
whisper-base,mix0.00,taps_lpf3k,0.2725,0.278,2.0,2,10,0.1055
whisper-base,mix0.00,taps_lpf4k,0.2725,0.2724,-0.0,4,10,0.7695
whisper-base,mix0.00,taps_lpf5k,0.2725,0.2724,-0.0,5,10,1.0
whisper-base,mix0.00,taps_lpf6k,0.2725,0.2713,-0.4,4,10,0.8457
whisper-base,mix0.00,taps_lpf7k,0.2725,0.2712,-0.5,5,10,0.5566
whisper-base,mix1.00,ce_lpf3k,0.2668,0.2828,6.0,0,10,0.002
whisper-base,mix1.00,ce_lpf4k,0.2668,0.2714,1.7,3,10,0.1309
whisper-base,mix1.00,ce_lpf5k,0.2668,0.2681,0.5,4,10,0.625
whisper-base,mix1.00,ce_lpf6k,0.2668,0.2648,-0.8,7,10,0.3223
whisper-base,mix1.00,ce_lpf7k,0.2668,0.2653,-0.6,8,10,0.1055
whisper-base,taps_lpf3k,ce_lpf3k,0.278,0.2828,1.7,4,10,0.375
whisper-base,taps_lpf4k,ce_lpf4k,0.2724,0.2714,-0.4,4,10,1.0
whisper-base,taps_lpf5k,ce_lpf5k,0.2724,0.2681,-1.6,7,10,0.2324
whisper-base,taps_lpf6k,ce_lpf6k,0.2713,0.2648,-2.4,7,10,0.1602
whisper-base,taps_lpf7k,ce_lpf7k,0.2712,0.2653,-2.2,7,10,0.2324
whisper-base,mix0.00,taps_notch,0.2725,0.2742,0.6,4,10,0.3223
whisper-base,mix1.00,ce_notch,0.2668,0.2768,3.7,0,10,0.002
whisper-base,mix0.00,hyb_tapsLow_ceHigh,0.2725,0.2704,-0.8,7,10,0.375
whisper-base,mix0.00,hyb_ceLow_tapsHigh,0.2725,0.2566,-5.8,8,10,0.0098
whisper-small,mix0.00,mix0.25,0.2297,0.2137,-7.0,10,10,0.002
whisper-small,mix0.00,mix0.50,0.2297,0.2001,-12.9,10,10,0.002
whisper-small,mix0.00,mix0.75,0.2297,0.1935,-15.8,10,10,0.002
whisper-small,mix0.00,mix1.00,0.2297,0.1958,-14.8,10,10,0.002
whisper-small,mix0.00,mix1.25,0.2297,0.2094,-8.8,9,10,0.0039
whisper-small,mix0.00,mix1.50,0.2297,0.2185,-4.9,6,10,0.084
whisper-small,mix0.00,taps_lpf3k,0.2297,0.2205,-4.0,8,10,0.0098
whisper-small,mix0.00,taps_lpf4k,0.2297,0.2215,-3.6,9,10,0.0039
whisper-small,mix0.00,taps_lpf5k,0.2297,0.2241,-2.4,8,10,0.0098
whisper-small,mix0.00,taps_lpf6k,0.2297,0.2256,-1.8,8,10,0.0137
whisper-small,mix0.00,taps_lpf7k,0.2297,0.2256,-1.8,9,10,0.0059
whisper-small,mix1.00,ce_lpf3k,0.1958,0.2045,4.4,0,10,0.002
whisper-small,mix1.00,ce_lpf4k,0.1958,0.2006,2.5,1,10,0.0039
whisper-small,mix1.00,ce_lpf5k,0.1958,0.1994,1.8,0,10,0.002
whisper-small,mix1.00,ce_lpf6k,0.1958,0.1981,1.2,3,10,0.0645
whisper-small,mix1.00,ce_lpf7k,0.1958,0.1973,0.7,4,10,0.2754
whisper-small,taps_lpf3k,ce_lpf3k,0.2205,0.2045,-7.3,9,10,0.0039
whisper-small,taps_lpf4k,ce_lpf4k,0.2215,0.2006,-9.4,10,10,0.002
whisper-small,taps_lpf5k,ce_lpf5k,0.2241,0.1994,-11.0,10,10,0.002
whisper-small,taps_lpf6k,ce_lpf6k,0.2256,0.1981,-12.2,10,10,0.002
whisper-small,taps_lpf7k,ce_lpf7k,0.2256,0.1973,-12.5,10,10,0.002
whisper-small,mix0.00,taps_notch,0.2297,0.2315,0.8,3,10,0.1309
whisper-small,mix1.00,ce_notch,0.1958,0.2041,4.3,0,10,0.002
whisper-small,mix0.00,hyb_tapsLow_ceHigh,0.2297,0.2168,-5.6,10,10,0.002
whisper-small,mix0.00,hyb_ceLow_tapsHigh,0.2297,0.2012,-12.4,10,10,0.002
whisper-medium,mix0.00,mix0.25,0.1962,0.1836,-6.4,9,10,0.0039
whisper-medium,mix0.00,mix0.50,0.1962,0.1733,-11.6,10,10,0.002
whisper-medium,mix0.00,mix0.75,0.1962,0.1665,-15.1,10,10,0.002
whisper-medium,mix0.00,mix1.00,0.1962,0.1688,-14.0,10,10,0.002
whisper-medium,mix0.00,mix1.25,0.1962,0.1749,-10.9,9,10,0.0039
whisper-medium,mix0.00,mix1.50,0.1962,0.1824,-7.0,9,10,0.0098
whisper-medium,mix0.00,taps_lpf3k,0.1962,0.1843,-6.1,10,10,0.002
whisper-medium,mix0.00,taps_lpf4k,0.1962,0.188,-4.2,9,10,0.0039
whisper-medium,mix0.00,taps_lpf5k,0.1962,0.1918,-2.2,9,10,0.0039
whisper-medium,mix0.00,taps_lpf6k,0.1962,0.1943,-1.0,9,10,0.0488
whisper-medium,mix0.00,taps_lpf7k,0.1962,0.1949,-0.7,8,10,0.0645
whisper-medium,mix1.00,ce_lpf3k,0.1688,0.1694,0.4,4,10,0.6953
whisper-medium,mix1.00,ce_lpf4k,0.1688,0.1691,0.2,5,10,1.0
whisper-medium,mix1.00,ce_lpf5k,0.1688,0.1685,-0.2,6,10,1.0
whisper-medium,mix1.00,ce_lpf6k,0.1688,0.1684,-0.3,7,10,0.625
whisper-medium,mix1.00,ce_lpf7k,0.1688,0.1678,-0.6,7,10,0.3223
whisper-medium,taps_lpf3k,ce_lpf3k,0.1843,0.1694,-8.1,10,10,0.002
whisper-medium,taps_lpf4k,ce_lpf4k,0.188,0.1691,-10.0,9,10,0.0039
whisper-medium,taps_lpf5k,ce_lpf5k,0.1918,0.1685,-12.2,10,10,0.002
whisper-medium,taps_lpf6k,ce_lpf6k,0.1943,0.1684,-13.3,10,10,0.002
whisper-medium,taps_lpf7k,ce_lpf7k,0.1949,0.1678,-13.9,10,10,0.002
whisper-medium,mix0.00,taps_notch,0.1962,0.1968,0.3,4,10,0.4316
whisper-medium,mix1.00,ce_notch,0.1688,0.1715,1.6,1,10,0.0488
whisper-medium,mix0.00,hyb_tapsLow_ceHigh,0.1962,0.1829,-6.8,10,10,0.002
whisper-medium,mix0.00,hyb_ceLow_tapsHigh,0.1962,0.1715,-12.6,10,10,0.002
whisper-ft,mix0.00,mix0.25,0.1462,0.1306,-10.6,10,10,0.002
whisper-ft,mix0.00,mix0.50,0.1462,0.1204,-17.6,10,10,0.002
whisper-ft,mix0.00,mix0.75,0.1462,0.1147,-21.5,10,10,0.002
whisper-ft,mix0.00,mix1.00,0.1462,0.1212,-17.1,10,10,0.002
whisper-ft,mix0.00,mix1.25,0.1462,0.1291,-11.7,10,10,0.002
whisper-ft,mix0.00,mix1.50,0.1462,0.138,-5.6,8,10,0.0195
whisper-ft,mix0.00,taps_lpf3k,0.1462,0.1371,-6.2,8,10,0.0098
whisper-ft,mix0.00,taps_lpf4k,0.1462,0.1386,-5.1,10,10,0.002
whisper-ft,mix0.00,taps_lpf5k,0.1462,0.1399,-4.3,10,10,0.002
whisper-ft,mix0.00,taps_lpf6k,0.1462,0.1421,-2.8,9,10,0.0195
whisper-ft,mix0.00,taps_lpf7k,0.1462,0.1422,-2.7,9,10,0.0039
whisper-ft,mix1.00,ce_lpf3k,0.1212,0.1255,3.6,3,10,0.0645
whisper-ft,mix1.00,ce_lpf4k,0.1212,0.1225,1.1,3,10,0.4316
whisper-ft,mix1.00,ce_lpf5k,0.1212,0.1217,0.4,5,10,0.7695
whisper-ft,mix1.00,ce_lpf6k,0.1212,0.1222,0.8,5,10,0.8457
whisper-ft,mix1.00,ce_lpf7k,0.1212,0.1212,0.0,6,10,0.9219
whisper-ft,taps_lpf3k,ce_lpf3k,0.1371,0.1255,-8.5,9,10,0.0039
whisper-ft,taps_lpf4k,ce_lpf4k,0.1386,0.1225,-11.7,10,10,0.002
whisper-ft,taps_lpf5k,ce_lpf5k,0.1399,0.1217,-13.0,10,10,0.002
whisper-ft,taps_lpf6k,ce_lpf6k,0.1421,0.1222,-14.0,10,10,0.002
whisper-ft,taps_lpf7k,ce_lpf7k,0.1422,0.1212,-14.8,10,10,0.002
whisper-ft,mix0.00,taps_notch,0.1462,0.1453,-0.6,5,10,0.625
whisper-ft,mix1.00,ce_notch,0.1212,0.1235,1.9,6,10,0.8457
whisper-ft,mix0.00,hyb_tapsLow_ceHigh,0.1462,0.1335,-8.7,10,10,0.002
whisper-ft,mix0.00,hyb_ceLow_tapsHigh,0.1462,0.1205,-17.6,10,10,0.002
mms-1b-all,mix0.00,mix0.25,0.3498,0.3361,-3.9,10,10,0.002
mms-1b-all,mix0.00,mix0.50,0.3498,0.3283,-6.1,10,10,0.002
mms-1b-all,mix0.00,mix0.75,0.3498,0.3335,-4.7,10,10,0.002
mms-1b-all,mix0.00,mix1.00,0.3498,0.3536,1.1,3,10,0.3223
mms-1b-all,mix0.00,mix1.25,0.3498,0.3617,3.4,2,10,0.0195
mms-1b-all,mix0.00,mix1.50,0.3498,0.3698,5.7,0,10,0.002
mms-1b-all,mix0.00,taps_lpf3k,0.3498,0.3516,0.5,4,10,0.375
mms-1b-all,mix0.00,taps_lpf4k,0.3498,0.3498,-0.0,7,10,0.6953
mms-1b-all,mix0.00,taps_lpf5k,0.3498,0.3493,-0.2,7,10,0.4316
mms-1b-all,mix0.00,taps_lpf6k,0.3498,0.3493,-0.1,6,10,0.3223
mms-1b-all,mix0.00,taps_lpf7k,0.3498,0.3496,-0.1,5,10,0.9219
mms-1b-all,mix1.00,ce_lpf3k,0.3536,0.356,0.7,4,10,0.3223
mms-1b-all,mix1.00,ce_lpf4k,0.3536,0.354,0.1,6,10,1.0
mms-1b-all,mix1.00,ce_lpf5k,0.3536,0.352,-0.4,8,10,0.3223
mms-1b-all,mix1.00,ce_lpf6k,0.3536,0.3517,-0.5,7,10,0.1309
mms-1b-all,mix1.00,ce_lpf7k,0.3536,0.3517,-0.5,8,10,0.0645
mms-1b-all,taps_lpf3k,ce_lpf3k,0.3516,0.356,1.2,4,10,0.3223
mms-1b-all,taps_lpf4k,ce_lpf4k,0.3498,0.354,1.2,3,10,0.3223
mms-1b-all,taps_lpf5k,ce_lpf5k,0.3493,0.352,0.8,4,10,0.4316
mms-1b-all,taps_lpf6k,ce_lpf6k,0.3493,0.3517,0.7,4,10,0.5566
mms-1b-all,taps_lpf7k,ce_lpf7k,0.3496,0.3517,0.6,5,10,0.6953
mms-1b-all,mix0.00,taps_notch,0.3498,0.3507,0.3,4,10,0.4922
mms-1b-all,mix1.00,ce_notch,0.3536,0.3571,1.0,2,10,0.0645
mms-1b-all,mix0.00,hyb_tapsLow_ceHigh,0.3498,0.3482,-0.5,8,10,0.1934
mms-1b-all,mix0.00,hyb_ceLow_tapsHigh,0.3498,0.3425,-2.1,7,10,0.0488
xlsr-korean,mix0.00,mix0.25,0.2216,0.211,-4.8,10,10,0.002
xlsr-korean,mix0.00,mix0.50,0.2216,0.213,-3.9,9,10,0.0039
xlsr-korean,mix0.00,mix0.75,0.2216,0.2309,4.2,0,10,0.002
xlsr-korean,mix0.00,mix1.00,0.2216,0.2787,25.8,0,10,0.002
xlsr-korean,mix0.00,mix1.25,0.2216,0.2824,27.5,0,10,0.002
xlsr-korean,mix0.00,mix1.50,0.2216,0.2888,30.3,0,10,0.002
xlsr-korean,mix0.00,taps_lpf3k,0.2216,0.2896,30.7,0,10,0.002
xlsr-korean,mix0.00,taps_lpf4k,0.2216,0.2566,15.8,0,10,0.002
xlsr-korean,mix0.00,taps_lpf5k,0.2216,0.232,4.7,0,10,0.002
xlsr-korean,mix0.00,taps_lpf6k,0.2216,0.2245,1.3,0,10,0.002
xlsr-korean,mix0.00,taps_lpf7k,0.2216,0.2234,0.8,3,10,0.0273
xlsr-korean,mix1.00,ce_lpf3k,0.2787,0.3673,31.8,0,10,0.002
xlsr-korean,mix1.00,ce_lpf4k,0.2787,0.3298,18.3,0,10,0.002
xlsr-korean,mix1.00,ce_lpf5k,0.2787,0.3295,18.2,0,10,0.002
