asr,cond,n,cer_nopunct,cer_raw
whisper-base,mix0.00,1000,0.2725,0.2941
whisper-base,mix0.25,1000,0.259,0.2791
whisper-base,mix0.50,1000,0.2499,0.2691
whisper-base,mix0.75,1000,0.2453,0.2647
whisper-base,mix1.00,1000,0.2668,0.2854
whisper-base,mix1.25,1000,0.2723,0.29
whisper-base,mix1.50,1000,0.2827,0.2998
whisper-base,taps_lpf3k,1000,0.278,0.2974
whisper-base,taps_lpf4k,1000,0.2724,0.2935
whisper-base,taps_lpf5k,1000,0.2724,0.2944
whisper-base,taps_lpf6k,1000,0.2713,0.2937
whisper-base,taps_lpf7k,1000,0.2712,0.2937
whisper-base,ce_lpf3k,1000,0.2828,0.299
whisper-base,ce_lpf4k,1000,0.2714,0.2874
whisper-base,ce_lpf5k,1000,0.2681,0.2842
whisper-base,ce_lpf6k,1000,0.2648,0.2815
whisper-base,ce_lpf7k,1000,0.2653,0.2823
whisper-base,taps_notch,1000,0.2742,0.2955
whisper-base,ce_notch,1000,0.2768,0.295
whisper-base,hyb_tapsLow_ceHigh,1000,0.2704,0.2913
whisper-base,hyb_ceLow_tapsHigh,1000,0.2566,0.2735
whisper-small,mix0.00,1000,0.2297,0.2514
whisper-small,mix0.25,1000,0.2137,0.2344
whisper-small,mix0.50,1000,0.2001,0.217
whisper-small,mix0.75,1000,0.1935,0.2008
whisper-small,mix1.00,1000,0.1958,0.2001
whisper-small,mix1.25,1000,0.2094,0.2139
whisper-small,mix1.50,1000,0.2185,0.2239
whisper-small,taps_lpf3k,1000,0.2205,0.2431
whisper-small,taps_lpf4k,1000,0.2215,0.2441
whisper-small,taps_lpf5k,1000,0.2241,0.2465
whisper-small,taps_lpf6k,1000,0.2256,0.2483
whisper-small,taps_lpf7k,1000,0.2256,0.2486
whisper-small,ce_lpf3k,1000,0.2045,0.2197
whisper-small,ce_lpf4k,1000,0.2006,0.212
whisper-small,ce_lpf5k,1000,0.1994,0.2074
whisper-small,ce_lpf6k,1000,0.1981,0.2043
