
残差スイープ  CER（句読点除去）  α=0: TAPS, α=1: CE λ=10
ASR                0.00    0.25    0.50    0.75    1.00    1.25    1.50  ρ(α,CER)
whisper-base     0.2725  0.2590  0.2499  0.2453  0.2668  0.2723  0.2827      0.32
whisper-small    0.2297  0.2137  0.2001  0.1935  0.1958  0.2094  0.2185     -0.21
whisper-medium   0.1962  0.1836  0.1733  0.1665  0.1688  0.1749  0.1824     -0.39
whisper-ft       0.1462  0.1306  0.1204  0.1147  0.1212  0.1291  0.1380     -0.14
mms-1b-all       0.3498  0.3361  0.3283  0.3335  0.3536  0.3617  0.3698      0.68
xlsr-korean      0.2216  0.2110  0.2130  0.2309  0.2787  0.2824  0.2888      0.89

カットオフ行列  CER（句読点除去）  8k = 無処理
[taps] ASR                  3k      4k      5k      6k      7k      8k   notch
       whisper-base     0.2780  0.2724  0.2724  0.2713  0.2712  0.2725  0.2742
       whisper-small    0.2205  0.2215  0.2241  0.2256  0.2256  0.2297  0.2315
       whisper-medium   0.1843  0.1880  0.1918  0.1943  0.1949  0.1962  0.1968
       whisper-ft       0.1371  0.1386  0.1399  0.1421  0.1422  0.1462  0.1453
       mms-1b-all       0.3516  0.3498  0.3493  0.3493  0.3496  0.3498  0.3507
       xlsr-korean      0.2896  0.2566  0.2320  0.2245  0.2234  0.2216  0.2263
[ce] ASR                  3k      4k      5k      6k      7k      8k   notch
       whisper-base     0.2828  0.2714  0.2681  0.2648  0.2653  0.2668  0.2768
       whisper-small    0.2045  0.2006  0.1994  0.1981  0.1973  0.1958  0.2041
       whisper-medium   0.1694  0.1691  0.1685  0.1684  0.1678  0.1688  0.1715
       whisper-ft       0.1255  0.1225  0.1217  0.1222  0.1212  0.1212  0.1235
       mms-1b-all       0.3560  0.3540  0.3520  0.3517  0.3517  0.3536  0.3571
       xlsr-korean      0.3673  0.3298  0.3295  0.3212  0.2901  0.2787  0.2954

Saved: /home/kasuga/kasuga/bone-conduction-research/results/step0/summary.csv, /home/kasuga/kasuga/bone-conduction-research/results/step0/pairs.csv
