condition,noise_type,snr_db,avg_stoi
throat_clean_ref,none,clean,1.0
dsp_only/clean,none,clean,0.8465
gtcrn/clean,none,clean,0.9897
no_se/pink/snr_+0dB,pink,+0,0.5773
no_se/pink/snr_+10dB,pink,+10,0.7532
no_se/pink/snr_+20dB,pink,+20,0.936
no_se/pink/snr_+5dB,pink,+5,0.6597
no_se/pink/snr_-5dB,pink,-5,0.4831
no_se/white/snr_+0dB,white,+0,0.5851
no_se/white/snr_+10dB,white,+10,0.6964
no_se/white/snr_+20dB,white,+20,0.8543
no_se/white/snr_+5dB,white,+5,0.6372
no_se/white/snr_-5dB,white,-5,0.5258
dsp_only/pink/snr_+0dB,pink,+0,0.4436
dsp_only/pink/snr_+10dB,pink,+10,0.5991
dsp_only/pink/snr_+20dB,pink,+20,0.7816
dsp_only/pink/snr_+5dB,pink,+5,0.5102
dsp_only/pink/snr_-5dB,pink,-5,0.3803
dsp_only/white/snr_+0dB,white,+0,0.4341
dsp_only/white/snr_+10dB,white,+10,0.5403
dsp_only/white/snr_+20dB,white,+20,0.6989
dsp_only/white/snr_+5dB,white,+5,0.4822
dsp_only/white/snr_-5dB,white,-5,0.388
gtcrn/pink/snr_+0dB,pink,+0,0.7255
gtcrn/pink/snr_+10dB,pink,+10,0.8457
gtcrn/pink/snr_+20dB,pink,+20,0.9361
gtcrn/pink/snr_+5dB,pink,+5,0.7879
gtcrn/pink/snr_-5dB,pink,-5,0.6237
gtcrn/white/snr_+0dB,white,+0,0.7207
gtcrn/white/snr_+10dB,white,+10,0.8099
gtcrn/white/snr_+20dB,white,+20,0.9003
gtcrn/white/snr_+5dB,white,+5,0.7668
gtcrn/white/snr_-5dB,white,-5,0.659
