condition,noise_type,snr_db,avg_cer
baseline_acoustic,none,clean,0.131
baseline_throat,none,clean,0.269
dsp_only/clean,none,clean,0.416
gtcrn/clean,none,clean,0.296
no_se/pink/snr_+0dB,pink,+0,0.862
no_se/pink/snr_+10dB,pink,+10,0.463
no_se/pink/snr_+20dB,pink,+20,0.305
no_se/pink/snr_+5dB,pink,+5,0.635
no_se/pink/snr_-5dB,pink,-5,1.042
no_se/white/snr_+0dB,white,+0,0.882
no_se/white/snr_+10dB,white,+10,0.512
no_se/white/snr_+20dB,white,+20,0.33
no_se/white/snr_+5dB,white,+5,0.662
no_se/white/snr_-5dB,white,-5,0.977
dsp_only/pink/snr_+0dB,pink,+0,1.01
dsp_only/pink/snr_+10dB,pink,+10,0.654
dsp_only/pink/snr_+20dB,pink,+20,0.489
dsp_only/pink/snr_+5dB,pink,+5,0.843
dsp_only/pink/snr_-5dB,pink,-5,1.001
dsp_only/white/snr_+0dB,white,+0,1.028
dsp_only/white/snr_+10dB,white,+10,0.802
dsp_only/white/snr_+20dB,white,+20,0.512
dsp_only/white/snr_+5dB,white,+5,0.977
dsp_only/white/snr_-5dB,white,-5,0.998
gtcrn/pink/snr_+0dB,pink,+0,1.108
gtcrn/pink/snr_+10dB,pink,+10,0.542
gtcrn/pink/snr_+20dB,pink,+20,0.37
gtcrn/pink/snr_+5dB,pink,+5,0.8539
gtcrn/pink/snr_-5dB,pink,-5,1.0814
gtcrn/white/snr_+0dB,white,+0,1.2144
gtcrn/white/snr_+10dB,white,+10,0.7076
gtcrn/white/snr_+20dB,white,+20,0.3778
gtcrn/white/snr_+5dB,white,+5,0.9815
gtcrn/white/snr_-5dB,white,-5,1.1875
